Trade Date,ISIN,YTM / Yield
January 2005,IN002004X013,5.19
January 2005,IN0020020064,6.44
January 2005,IN002004Z018,5.58
January 2005,IN002004Z018,5.60
January 2005,IN0020020064,6.43
January 2005,IN0020020130,6.70
January 2005,IN002004X013,5.19
January 2005,IN002004Z018,5.61
January 2005,IN002004Z018,5.61
January 2005,IN002004Z018,5.54
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.72
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020064,6.45
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.70
January 2005,IN0020020064,6.43
January 2005,IN0020010057,6.70
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN002004X013,5.20
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.70
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020064,6.42
January 2005,IN0020020064,6.44
January 2005,IN002004Z018,5.47
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.70
January 2005,IN0020020064,6.43
January 2005,IN0020010057,6.70
January 2005,IN0020020064,6.43
January 2005,IN002004Z018,5.49
January 2005,IN0020020064,6.44
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.70
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020064,6.42
January 2005,IN0020020064,6.44
January 2005,IN0020020130,6.71
January 2005,IN002004X013,5.20
January 2005,IN0020020130,6.71
January 2005,IN0020010057,6.64
January 2005,IN3120040065,7.00
January 2005,IN0019840084,6.71
January 2005,IN0020020064,6.44
January 2005,IN0020020064,6.44
January 2005,IN0020020064,6.44
January 2005,IN0020020130,6.71
January 2005,IN0020020056,6.70
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020064,6.44
January 2005,IN0020020130,6.71
January 2005,IN0020020064,6.43
January 2005,IN0020020064,6.43
January 2005,IN0020020064,6.44
January 2005,IN0020020064,6.44
January 2005,IN0020020064,6.44
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020064,6.44
January 2005,IN0020020130,6.70
January 2005,IN002004Z018,5.14
January 2005,IN0020020064,6.43
January 2005,IN0019990038,5.73
January 2005,IN002004X013,5.10
January 2005,IN0020020064,6.46
January 2005,IN0020020064,6.43
January 2005,IN0020020064,6.43
January 2005,IN0020020130,6.71
January 2005,IN0020020064,6.43
January 2005,IN0020040039,7.45
January 2005,IN0020020064,6.43
January 2005,IN0020020130,6.72
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.72
January 2005,IN0020000041,6.79
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN002004Z018,5.48
January 2005,IN0019990012,6.55
January 2005,IN0019990012,6.55
January 2005,IN0020020130,6.71
January 2005,IN0020020064,6.43
January 2005,IN0020020130,6.71
January 2005,IN002004X013,5.10
January 2005,IN002004Z018,5.61
January 2005,IN002004Z018,5.61
January 2005,IN002004Z018,5.51
January 2005,IN0020020130,6.71
January 2005,IN3120040057,7.07
January 2005,IN0020020130,6.70
January 2005,IN002004X013,5.10
January 2005,IN002004X013,5.13
January 2005,IN0020010040,6.89
January 2005,IN002004X013,4.83
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.70
January 2005,IN0020020130,6.70
January 2005,IN002004X013,5.19
January 2005,IN0020000025,7.01
January 2005,IN0020010057,6.70
January 2005,IN0020000025,7.01
January 2005,IN0020020064,6.43
January 2005,IN0020020064,6.44
January 2005,IN002004X013,5.20
January 2005,IN0020020130,6.69
January 2005,IN002004X013,4.75
January 2005,IN0020010073,6.85
January 2005,IN0020020015,6.44
January 2005,IN0020010073,6.85
January 2005,IN0020020130,6.71
January 2005,IN002003Z010,4.95
January 2005,IN0020020171,6.89
January 2005,IN0020020163,6.81
January 2005,IN0020020064,6.43
January 2005,IN002004X013,4.85
January 2005,IN0020010081,7.33
January 2005,IN0020020130,6.71
January 2005,IN002004X013,5.10
January 2005,IN002004X013,5.14
January 2005,IN0020020130,6.70
January 2005,IN0020020130,6.70
January 2005,IN002004X013,5.10
January 2005,IN3120040057,7.07
January 2005,IN0020020064,6.44
January 2005,IN002004X013,5.20
January 2005,IN0020020130,6.70
January 2005,IN0019970097,5.58
January 2005,IN0020020171,6.89
January 2005,IN0020020130,6.70
January 2005,IN0019970097,5.58
January 2005,IN0019970097,5.58
January 2005,IN0019970097,5.58
January 2005,IN002004Z018,5.51
January 2005,IN1920010023,7.27
January 2005,IN0020020130,6.70
January 2005,IN0020020130,6.70
January 2005,IN2120020028,7.20
January 2005,IN0020020015,6.44
January 2005,IN0020010057,6.70
January 2005,IN0020010057,6.70
January 2005,IN0020020130,6.70
January 2005,IN0020020064,6.43
January 2005,IN0020020163,6.90
January 2005,IN0020000041,6.77
January 2005,IN0020030055,6.88
January 2005,IN0020020064,6.44
January 2005,IN3120000044,6.95
January 2005,IN0020040039,7.46
January 2005,IN0020010057,6.70
January 2005,IN0020010073,6.80
January 2005,IN002004Z018,5.19
January 2005,IN002004Z018,5.50
January 2005,IN0020020130,6.70
January 2005,IN002004Z018,5.12
January 2005,IN0020020064,6.43
January 2005,IN0020020130,6.70
January 2005,IN0020020130,6.70
January 2005,IN002004X013,5.19
January 2005,IN0020020064,6.43
January 2005,IN0020020064,6.43
January 2005,IN002004Z018,5.58
January 2005,IN002004Z018,5.45
January 2005,IN0020020106,7.18
January 2005,IN0019980047,6.35
January 2005,IN0020020064,6.43
January 2005,IN0020020064,6.43
January 2005,IN002004X013,5.32
January 2005,IN002004Z018,5.48
January 2005,IN0020020064,6.43
February 2005,IN0020020130,6.71
February 2005,IN1019920017,7.06
February 2005,IN1520010050,7.16
February 2005,IN0020020064,6.44
February 2005,IN0020020064,6.44
February 2005,IN0020040039,7.45
February 2005,IN0020020130,6.71
February 2005,IN0020020247,7.12
February 2005,IN0020030097,6.82
February 2005,IN0020020098,6.92
February 2005,IN002004X013,5.17
February 2005,IN0020040039,7.42
February 2005,IN0020020130,6.69
February 2005,IN0020020163,6.83
February 2005,IN3120020026,7.10
February 2005,IN0020010057,6.68
February 2005,IN0020020064,6.44
February 2005,IN0020020163,6.83
February 2005,IN0020030055,6.82
February 2005,IN0020040039,7.40
February 2005,IN0020020171,6.96
February 2005,IN002004X013,5.10
February 2005,IN0020020130,6.71
February 2005,IN002004Z018,5.07
February 2005,IN0020000108,6.39
February 2005,IN0020010057,6.69
February 2005,IN3620020021,7.26
February 2005,IN0020020064,6.44
February 2005,IN002004Z018,5.55
February 2005,IN0020020064,6.44
February 2005,IN0020040039,7.42
February 2005,IN0020020247,7.16
February 2005,IN0020020171,6.78
February 2005,IN0020040039,7.47
February 2005,IN0019980047,6.37
February 2005,IN0020012012,5.66
February 2005,IN0020020163,6.88
February 2005,IN0020020163,6.83
February 2005,IN2220010044,7.16
February 2005,IN002004X013,4.82
February 2005,IN0020020130,6.71
February 2005,IN1920040061,7.00
February 2005,IN2220010010,7.17
February 2005,IN0020020130,6.71
February 2005,IN0020010065,6.82
February 2005,IN2220040058,7.14
February 2005,IN1020010014,7.17
February 2005,IN0020000132,6.85
February 2005,IN002004Z018,5.60
February 2005,IN2920010013,7.17
February 2005,IN002004X013,5.19
February 2005,IN0020020098,6.91
February 2005,IN002004X013,5.05
February 2005,IN0020020163,6.84
February 2005,IN2220010044,7.16
February 2005,IN0020020163,6.82
February 2005,IN1020010014,7.08
February 2005,IN002004X013,5.17
February 2005,IN0020020015,6.43
February 2005,IN0020020247,7.04
February 2005,IN0020020114,5.56
February 2005,IN002004Z018,4.98
February 2005,IN002004Z018,5.17
February 2005,IN0020020163,6.84
February 2005,IN002004Z018,5.47
February 2005,IN0020020114,5.55
February 2005,IN0020020064,6.44
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020064,6.44
February 2005,IN0020040039,7.46
February 2005,IN002003Z010,5.00
February 2005,IN2220000011,6.94
February 2005,IN002004Z018,5.07
February 2005,IN0020020064,6.44
February 2005,IN0020000082,6.67
February 2005,IN1520000010,6.94
February 2005,IN002004X013,4.85
February 2005,IN0020020064,6.45
February 2005,IN0020020064,6.45
February 2005,IN0020020064,6.45
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.72
February 2005,IN0020020130,6.72
February 2005,IN0020020130,6.72
February 2005,IN0020020130,6.72
February 2005,IN002004X013,5.00
February 2005,IN0020000066,6.86
February 2005,IN0020020130,6.72
February 2005,IN1320000012,7.14
February 2005,IN0020020130,6.72
February 2005,IN0020020064,6.45
February 2005,IN0019980047,6.36
February 2005,IN2220040058,7.15
February 2005,IN0020020064,6.45
February 2005,IN0020020130,6.72
February 2005,IN0020020130,6.72
February 2005,IN0020020130,6.72
February 2005,IN0020000066,6.97
February 2005,IN0019980021,5.78
February 2005,IN0020020064,6.45
February 2005,IN002004Z018,5.59
February 2005,IN002004Z018,5.59
February 2005,IN0020020064,6.45
February 2005,IN002004Z018,5.55
February 2005,IN0020020064,6.45
February 2005,IN002004Z018,5.56
February 2005,IN0020020163,6.83
February 2005,IN0020020064,6.45
February 2005,IN0020020130,6.72
February 2005,IN0020020130,6.72
February 2005,IN0020020064,6.45
February 2005,IN1020010014,7.15
February 2005,IN0020020130,6.72
February 2005,IN002004Z018,5.55
February 2005,IN1919990037,7.17
February 2005,IN0019990038,5.74
February 2005,IN3120010019,7.12
February 2005,IN0019990038,5.74
February 2005,IN0020020130,6.72
February 2005,IN002004Z018,5.45
February 2005,IN002003Z010,4.90
February 2005,IN002004Z018,5.47
February 2005,IN002004Z018,5.60
February 2005,IN0020020130,6.72
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020064,6.44
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.70
February 2005,IN0020020064,6.43
February 2005,IN0020020015,6.43
February 2005,IN0020020064,6.44
February 2005,IN0020020064,6.43
February 2005,IN0020020064,6.43
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020064,6.44
February 2005,IN002004X013,5.18
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020010057,6.68
February 2005,IN0020020064,6.44
February 2005,IN0019970097,5.55
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020064,6.43
February 2005,IN0020010057,6.68
February 2005,IN0020020064,6.43
February 2005,IN0020020130,6.71
February 2005,IN0020020015,6.43
February 2005,IN0020010057,6.65
February 2005,IN0020020064,6.43
February 2005,IN0020020064,6.43
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0019970097,5.55
February 2005,IN0020020064,6.45
February 2005,IN0020020064,6.45
February 2005,IN0020020064,6.45
February 2005,IN0020020130,6.72
February 2005,IN0020020064,6.45
February 2005,IN002004X013,5.18
February 2005,IN0020020130,6.72
February 2005,IN0020020064,6.44
February 2005,IN0020020130,6.72
February 2005,IN002004X013,5.18
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020010057,6.68
February 2005,IN0020010057,6.68
February 2005,IN0020010057,6.68
February 2005,IN0020020130,6.71
February 2005,IN0020020056,6.73
February 2005,IN002004Z018,5.60
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN2220010051,7.15
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020015,6.43
February 2005,IN0020020130,6.72
February 2005,IN0020000041,6.76
February 2005,IN0020020130,6.72
February 2005,IN0020020130,6.72
February 2005,IN0020020064,6.45
February 2005,IN0020020064,6.43
February 2005,IN0020020130,6.71
February 2005,IN3120040057,7.07
February 2005,IN0019970097,5.56
February 2005,IN0020020130,6.71
February 2005,IN3120040057,7.07
February 2005,IN0020020130,6.72
February 2005,IN0020010057,6.58
February 2005,IN002004Z018,5.55
February 2005,IN002004X013,5.18
February 2005,IN0020020130,6.72
February 2005,IN0020020031,6.86
February 2005,IN0020020064,6.44
February 2005,IN2220040058,7.15
February 2005,IN0020020064,6.45
February 2005,IN0020020064,6.45
February 2005,IN002004Z018,5.00
February 2005,IN002004Z018,5.47
February 2005,IN002003Z010,4.90
February 2005,IN002004Z018,5.47
February 2005,IN002003Z010,4.90
February 2005,IN002004Z018,5.00
February 2005,IN0020020130,6.70
February 2005,IN002004X013,5.05
February 2005,IN002004X013,5.18
February 2005,IN002004X013,5.18
February 2005,IN0020020130,6.71
February 2005,IN2220010051,7.13
February 2005,IN002004Z018,5.15
February 2005,IN0020020130,6.71
February 2005,IN0020010073,6.85
February 2005,IN002004Z018,5.10
February 2005,IN0020020130,6.72
February 2005,IN0020020064,6.44
February 2005,IN0020020247,6.99
February 2005,IN002004X013,5.18
February 2005,IN002004Z018,5.42
February 2005,IN0020020130,6.71
February 2005,IN3120040057,7.07
February 2005,IN0019880031,6.44
February 2005,IN3120040057,7.07
February 2005,IN0020020130,6.70
February 2005,IN0020010057,6.68
February 2005,IN0020020130,6.71
February 2005,IN002004X013,5.09
February 2005,IN002004X013,5.18
February 2005,IN0020020130,6.71
