Trade Date,ISIN,YTM / Yield
January 2006,IN0019990038,6.60
January 2006,IN0020020072,7.54
January 2006,IN0020010115,7.22
January 2006,IN002005X010,6.35
January 2006,IN0019800021,6.73
January 2006,IN3320050021,7.28
January 2006,IN0020010107,7.41
January 2006,IN0020010040,7.50
January 2006,IN0020010107,7.38
January 2006,IN0020010107,7.38
January 2006,IN0020010107,7.38
January 2006,IN0020010107,7.38
January 2006,IN0020020171,7.47
January 2006,IN0020010107,7.37
January 2006,IN1520010043,7.07
January 2006,IN0019990038,6.60
January 2006,IN1520050023,7.48
January 2006,IN0019990038,6.60
January 2006,IN0020050012,7.53
January 2006,IN0019980021,6.63
January 2006,IN0020010107,7.40
January 2006,IN0020020031,7.29
January 2006,IN0020010107,7.38
January 2006,IN0020010107,7.38
January 2006,IN0020010107,7.36
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.39
January 2006,IN0019990038,6.60
January 2006,IN0020020122,7.12
January 2006,IN0020010107,7.38
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010057,6.93
January 2006,IN0020020163,7.36
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010057,6.93
January 2006,IN0020010107,7.47
January 2006,IN0020010107,7.47
January 2006,IN0020010057,6.93
January 2006,IN0020010107,7.47
January 2006,IN0020010107,7.41
January 2006,IN0020010107,7.46
January 2006,IN0020010057,6.91
January 2006,IN0020010107,7.40
January 2006,IN0020010057,6.93
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.38
January 2006,IN0020010107,7.37
January 2006,IN0020010057,6.93
January 2006,IN0020010057,6.93
January 2006,IN0020010057,6.93
January 2006,IN0020020072,7.49
January 2006,IN0020010107,7.37
January 2006,IN0020010040,7.47
January 2006,IN0020020049,7.18
January 2006,IN0020020049,7.18
January 2006,IN0020010040,7.47
January 2006,IN0020010040,7.47
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020020072,7.48
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.38
January 2006,IN0020020072,7.48
January 2006,IN0020010040,7.46
January 2006,IN0020010107,7.37
January 2006,IN0020020031,7.21
January 2006,IN0020010107,7.36
January 2006,IN0020010107,7.36
January 2006,IN0020010107,7.36
January 2006,IN0020010107,7.36
January 2006,IN0020010107,7.36
January 2006,IN0020020122,7.11
January 2006,IN0020010057,6.92
January 2006,IN0020010057,6.92
January 2006,IN0020020122,7.11
January 2006,IN0020010107,7.38
January 2006,IN0020010107,7.36
January 2006,IN0020010057,6.92
January 2006,IN0020010040,7.47
January 2006,IN0020010115,7.20
January 2006,IN0020020031,7.37
January 2006,IN0020010040,7.46
January 2006,IN0020020122,7.11
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN1920050011,7.26
January 2006,IN0020010107,7.37
January 2006,IN0020010107,7.37
January 2006,IN0020010040,7.48
January 2006,IN0020020163,7.50
January 2006,IN1120050043,7.48
January 2006,IN0020010040,7.48
January 2006,IN0020010040,7.46
January 2006,IN1120050043,7.48
January 2006,IN0020050012,7.51
January 2006,IN0020010107,7.37
January 2006,IN002005Y018,6.61
January 2006,IN0020010040,7.47
January 2006,IN1920050011,7.33
